SEXO,EDAD,PAIS,AÑO ESTIMACION,REGION,COMUNA,CENSO AJUSTADO,RRAA_REGULAR,RRAA_IRREGULAR,RRAA_TOTAL,ESTIMACION
H,00 A 04,ARGENTINA,2020,LOS LAGOS,PUERTO MONTT,2.0,4.0,1.0,5.0,7
H,00 A 04,ARGENTINA,2020,METROPOLITANA DE SANTIAGO,CONCHALÍ,1.0,2.0,1.0,3.0,4
H,00 A 04,ARGENTINA,2020,TARAPACÁ,IQUIQUE,2.0,2.0,1.0,3.0,5
H,00 A 04,ARGENTINA,2021,ANTOFAGASTA,ANTOFAGASTA,2.0,2.0,2.0,4.0,6
H,00 A 04,ARGENTINA,2021,METROPOLITANA DE SANTIAGO,CONCHALÍ,1.0,2.0,1.0,3.0,4
H,00 A 04,ARGENTINA,2021,METROPOLITANA DE SANTIAGO,SANTIAGO,4.0,9.0,2.0,11.0,15
H,00 A 04,ARGENTINA,2021,TARAPACÁ,IQUIQUE,1.0,1.0,1.0,2.0,3
H,00 A 04,BOLIVIA,2018,ANTOFAGASTA,CALAMA,133.0,130.0,3.0,133.0,266
H,00 A 04,BOLIVIA,2018,TARAPACÁ,IQUIQUE,139.0,128.0,1.0,129.0,268
H,00 A 04,BOLIVIA,2019,ANTOFAGASTA,CALAMA,82.0,141.0,1.0,142.0,224
H,00 A 04,BOLIVIA,2020,METROPOLITANA DE SANTIAGO,SANTIAGO,10.0,13.0,1.0,14.0,24
H,00 A 04,BOLIVIA,2021,METROPOLITANA DE SANTIAGO,MELIPILLA,1.0,16.0,1.0,17.0,18
H,00 A 04,BOLIVIA,2021,METROPOLITANA DE SANTIAGO,SANTIAGO,3.0,7.0,2.0,9.0,12
H,00 A 04,COLOMBIA,2018,BIOBÍO,CONCEPCIÓN,2.0,1.0,1.0,2.0,4
H,00 A 04,COLOMBIA,2018,METROPOLITANA DE SANTIAGO,SAN BERNARDO,1.0,4.0,1.0,5.0,6
H,00 A 04,COLOMBIA,2019,BIOBÍO,CONCEPCIÓN,1.0,2.0,1.0,3.0,4
H,00 A 04,COLOMBIA,2019,METROPOLITANA DE SANTIAGO,SAN BERNARDO,1.0,5.0,1.0,6.0,7
H,00 A 04,COLOMBIA,2020,METROPOLITANA DE SANTIAGO,SAN BERNARDO,1.0,6.0,1.0,7.0,8
H,00 A 04,COLOMBIA,2021,MAULE,CURICÓ,1.0,2.0,1.0,3.0,4
H,00 A 04,COLOMBIA,2021,METROPOLITANA DE SANTIAGO,LAS CONDES,3.0,4.0,1.0,5.0,8
H,00 A 04,COLOMBIA,2021,METROPOLITANA DE SANTIAGO,SANTIAGO,6.0,56.0,4.0,60.0,66
H,00 A 04,ESPAÑA,2020,METROPOLITANA DE SANTIAGO,LAS CONDES,8.0,7.0,2.0,9.0,17
H,00 A 04,ESPAÑA,2021,METROPOLITANA DE SANTIAGO,LAS CONDES,2.0,5.0,1.0,6.0,8
H,00 A 04,ESTADOS UNIDOS,2020,METROPOLITANA DE SANTIAGO,SANTIAGO,4.0,7.0,1.0,8.0,12
H,00 A 04,ESTADOS UNIDOS,2021,METROPOLITANA DE SANTIAGO,LAS CONDES,6.0,2.0,2.0,4.0,10
H,00 A 04,OTRO PAÍS,2018,METROPOLITANA DE SANTIAGO,SANTIAGO,23.0,18.0,3.0,21.0,44
H,00 A 04,OTRO PAÍS,2019,METROPOLITANA DE SANTIAGO,SANTIAGO,19.0,15.0,3.0,18.0,37
H,00 A 04,OTRO PAÍS,2020,METROPOLITANA DE SANTIAGO,SANTIAGO,8.0,10.0,8.0,18.0,26
H,00 A 04,OTRO PAÍS,2021,METROPOLITANA DE SANTIAGO,LA FLORIDA,2.0,1.0,1.0,2.0,4
H,00 A 04,OTRO PAÍS,2021,METROPOLITANA DE SANTIAGO,LAS CONDES,2.0,19.0,1.0,20.0,22
H,00 A 04,OTRO PAÍS,2021,METROPOLITANA DE SANTIAGO,SANTIAGO,1.0,13.0,6.0,19.0,20
H,00 A 04,PERÚ,2018,ANTOFAGASTA,CALAMA,21.0,8.0,1.0,9.0,30
H,00 A 04,PERÚ,2019,ANTOFAGASTA,CALAMA,16.0,7.0,2.0,9.0,25
H,00 A 04,PERÚ,2020,METROPOLITANA DE SANTIAGO,SANTIAGO,70.0,80.0,5.0,85.0,155
H,00 A 04,PERÚ,2021,COQUIMBO,COQUIMBO,1.0,2.0,1.0,3.0,4
H,00 A 04,PERÚ,2021,METROPOLITANA DE SANTIAGO,LO PRADO,2.0,13.0,1.0,14.0,16
H,00 A 04,PERÚ,2021,METROPOLITANA DE SANTIAGO,RECOLETA,12.0,35.0,1.0,36.0,48
