SEXO,EDAD,PAIS,AÑO ESTIMACION,CODREGEO,REGION,CENSO AJUSTADO,RRAA_REGULAR,RRAA_IRREGULAR,RRAA_TOTAL,ESTIMACION
H,00 A 04,ALEMANIA,2020,7,METROPOLITANA DE SANTIAGO,10.0,2.0,2.0,4.0,14
H,00 A 04,ALEMANIA,2021,7,METROPOLITANA DE SANTIAGO,5.0,1.0,2.0,3.0,8
H,00 A 04,ARGENTINA,2019,9,MAULE,6.0,3.0,1.0,4.0,10
H,00 A 04,ARGENTINA,2020,2,TARAPACÁ,2.0,3.0,1.0,4.0,6
H,00 A 04,ARGENTINA,2020,7,METROPOLITANA DE SANTIAGO,76.0,72.0,1.0,73.0,149
H,00 A 04,ARGENTINA,2020,9,MAULE,3.0,5.0,1.0,6.0,9
H,00 A 04,ARGENTINA,2020,14,LOS LAGOS,8.0,7.0,1.0,8.0,16
H,00 A 04,ARGENTINA,2021,2,TARAPACÁ,1.0,1.0,1.0,2.0,3
H,00 A 04,ARGENTINA,2021,3,ANTOFAGASTA,3.0,2.0,2.0,4.0,7
H,00 A 04,ARGENTINA,2021,7,METROPOLITANA DE SANTIAGO,26.0,54.0,3.0,57.0,83
H,00 A 04,ARGENTINA,2021,9,MAULE,1.0,1.0,1.0,2.0,3
H,00 A 04,BOLIVIA,2018,2,TARAPACÁ,276.0,319.0,1.0,320.0,596
H,00 A 04,BOLIVIA,2018,3,ANTOFAGASTA,325.0,257.0,3.0,260.0,585
H,00 A 04,BOLIVIA,2019,3,ANTOFAGASTA,204.0,325.0,1.0,326.0,530
H,00 A 04,BOLIVIA,2020,7,METROPOLITANA DE SANTIAGO,61.0,144.0,1.0,145.0,206
H,00 A 04,BOLIVIA,2021,7,METROPOLITANA DE SANTIAGO,23.0,103.0,5.0,108.0,131
H,00 A 04,BRASIL,2021,7,METROPOLITANA DE SANTIAGO,15.0,27.0,1.0,28.0,43
H,00 A 04,COLOMBIA,2018,7,METROPOLITANA DE SANTIAGO,420.0,218.0,1.0,219.0,639
H,00 A 04,COLOMBIA,2018,11,BIOBÍO,6.0,2.0,1.0,3.0,9
H,00 A 04,COLOMBIA,2019,7,METROPOLITANA DE SANTIAGO,270.0,280.0,1.0,281.0,551
H,00 A 04,COLOMBIA,2019,11,BIOBÍO,3.0,9.0,2.0,11.0,14
H,00 A 04,COLOMBIA,2020,7,METROPOLITANA DE SANTIAGO,142.0,263.0,1.0,264.0,406
H,00 A 04,COLOMBIA,2021,7,METROPOLITANA DE SANTIAGO,30.0,225.0,7.0,232.0,262
H,00 A 04,COLOMBIA,2021,9,MAULE,2.0,7.0,1.0,8.0,10
H,00 A 04,COLOMBIA,2021,14,LOS LAGOS,1.0,7.0,1.0,8.0,9
H,00 A 04,CUBA,2018,6,VALPARAÍSO,2.0,4.0,1.0,5.0,7
H,00 A 04,CUBA,2018,7,METROPOLITANA DE SANTIAGO,17.0,5.0,1.0,6.0,23
H,00 A 04,CUBA,2020,7,METROPOLITANA DE SANTIAGO,4.0,19.0,1.0,20.0,24
H,00 A 04,ESPAÑA,2020,7,METROPOLITANA DE SANTIAGO,25.0,13.0,2.0,15.0,40
H,00 A 04,ESPAÑA,2021,7,METROPOLITANA DE SANTIAGO,7.0,12.0,1.0,13.0,20
H,00 A 04,ESTADOS UNIDOS,2020,7,METROPOLITANA DE SANTIAGO,73.0,40.0,1.0,41.0,114
H,00 A 04,ESTADOS UNIDOS,2021,6,VALPARAÍSO,4.0,1.0,1.0,2.0,6
H,00 A 04,ESTADOS UNIDOS,2021,7,METROPOLITANA DE SANTIAGO,18.0,18.0,3.0,21.0,39
H,00 A 04,HAITÍ,2021,9,MAULE,1.0,15.0,1.0,16.0,17
H,00 A 04,OTRO PAÍS,2018,7,METROPOLITANA DE SANTIAGO,276.0,52.0,4.0,56.0,332
H,00 A 04,OTRO PAÍS,2018,12,LA ARAUCANÍA,8.0,2.0,1.0,3.0,11
H,00 A 04,OTRO PAÍS,2019,6,VALPARAÍSO,14.0,2.0,1.0,3.0,17
H,00 A 04,OTRO PAÍS,2019,7,METROPOLITANA DE SANTIAGO,185.0,56.0,4.0,60.0,245
H,00 A 04,OTRO PAÍS,2019,12,LA ARAUCANÍA,6.0,1.0,2.0,3.0,9
H,00 A 04,OTRO PAÍS,2020,6,VALPARAÍSO,9.0,1.0,2.0,3.0,12
H,00 A 04,OTRO PAÍS,2020,7,METROPOLITANA DE SANTIAGO,86.0,63.0,9.0,72.0,158
H,00 A 04,OTRO PAÍS,2021,6,VALPARAÍSO,4.0,1.0,1.0,2.0,6
H,00 A 04,OTRO PAÍS,2021,7,METROPOLITANA DE SANTIAGO,16.0,70.0,9.0,79.0,95
H,00 A 04,PERÚ,2018,3,ANTOFAGASTA,82.0,41.0,1.0,42.0,124
H,00 A 04,PERÚ,2019,3,ANTOFAGASTA,53.0,44.0,2.0,46.0,99
H,00 A 04,PERÚ,2019,5,COQUIMBO,12.0,7.0,1.0,8.0,20
H,00 A 04,PERÚ,2020,5,COQUIMBO,4.0,5.0,1.0,6.0,10
H,00 A 04,PERÚ,2020,7,METROPOLITANA DE SANTIAGO,283.0,399.0,5.0,404.0,687
H,00 A 04,PERÚ,2021,5,COQUIMBO,1.0,8.0,1.0,9.0,10
H,00 A 04,PERÚ,2021,6,VALPARAÍSO,4.0,23.0,2.0,25.0,29
H,00 A 04,PERÚ,2021,7,METROPOLITANA DE SANTIAGO,98.0,366.0,11.0,377.0,475
H,00 A 04,PERÚ,2021,9,MAULE,1.0,10.0,1.0,11.0,12
H,00 A 04,R. DOMINICANA,2021,7,METROPOLITANA DE SANTIAGO,4.0,9.0,1.0,10.0,14
H,00 A 04,VENEZUELA,2018,3,ANTOFAGASTA,30.0,74.0,1.0,75.0,105
H,00 A 04,VENEZUELA,2018,5,COQUIMBO,10.0,89.0,1.0,90.0,100
H,00 A 04,VENEZUELA,2019,3,ANTOFAGASTA,22.0,115.0,1.0,116.0,138
H,00 A 04,VENEZUELA,2019,5,COQUIMBO,8.0,122.0,1.0,123.0,131
H,00 A 04,VENEZUELA,2019,7,METROPOLITANA DE SANTIAGO,911.0,3579.0,1.0,3580.0,4491
H,00 A 04,VENEZUELA,2019,14,LOS LAGOS,8.0,115.0,1.0,116.0,124
H,00 A 04,VENEZUELA,2020,3,ANTOFAGASTA,10.0,92.0,1.0,93.0,103
H,00 A 04,VENEZUELA,2020,5,COQUIMBO,5.0,82.0,1.0,83.0,88
H,00 A 04,VENEZUELA,2020,6,VALPARAÍSO,22.0,267.0,1.0,268.0,290
H,00 A 04,VENEZUELA,2020,7,METROPOLITANA DE SANTIAGO,432.0,2921.0,8.0,2929.0,3361
H,00 A 04,VENEZUELA,2020,9,MAULE,13.0,150.0,1.0,151.0,164
H,00 A 04,VENEZUELA,2021,3,ANTOFAGASTA,3.0,65.0,1.0,66.0,69
H,00 A 04,VENEZUELA,2021,4,ATACAMA,1.0,15.0,1.0,16.0,17
H,00 A 04,VENEZUELA,2021,6,VALPARAÍSO,1.0,156.0,7.0,163.0,164
H,00 A 04,VENEZUELA,2021,7,METROPOLITANA DE SANTIAGO,75.0,1509.0,41.0,1550.0,1625
H,00 A 04,VENEZUELA,2021,9,MAULE,2.0,85.0,11.0,96.0,98
H,00 A 04,VENEZUELA,2021,14,LOS LAGOS,1.0,60.0,14.0,74.0,75
H,05 A 09,ALEMANIA,2020,7,METROPOLITANA DE SANTIAGO,50.0,3.0,1.0,4.0,54
H,05 A 09,ALEMANIA,2021,7,METROPOLITANA DE SANTIAGO,45.0,2.0,1.0,3.0,48
H,05 A 09,ARGENTINA,2018,11,BIOBÍO,32.0,2.0,1.0,3.0,35
H,05 A 09,ARGENTINA,2020,2,TARAPACÁ,15.0,8.0,1.0,9.0,24
H,05 A 09,ARGENTINA,2020,7,METROPOLITANA DE SANTIAGO,489.0,91.0,1.0,92.0,581
H,05 A 09,ARGENTINA,2021,2,TARAPACÁ,14.0,8.0,1.0,9.0,23
H,05 A 09,ARGENTINA,2021,7,METROPOLITANA DE SANTIAGO,427.0,109.0,2.0,111.0,538
H,05 A 09,ARGENTINA,2021,9,MAULE,16.0,6.0,1.0,7.0,23
H,05 A 09,ARGENTINA,2021,14,LOS LAGOS,43.0,4.0,1.0,5.0,48
H,05 A 09,ARGENTINA,2022,2,TARAPACÁ,10.0,9.0,1.0,10.0,20
H,05 A 09,ARGENTINA,2022,5,COQUIMBO,11.0,17.0,1.0,18.0,29
